Text,IsQuestion
,0
"1,",0
,0
,0
Va,0
n^,0
,0
o,0
qu,0
,0
an,0
do,0
,0
,0
ou,0
,0
tr,0
oa,0
,0
,0
fr,0
,0
ac,0
aa,0
,0
ao,0
o,0
,0
nl,0
a,0
,0
po,0
rq,0
,0
ua,0
,0
,0
ta,0
nh,0
,0
a,0
aa,0
,0
lh,0
or,0
,0
aa,0
,0
,0
p,0
la,0
,0
n,0
o,0
,0
a,0
,0
,0
•o,0
a,0
,0
po,0
rq,0
,0
ua,0
,0
,0
ao,0
u,0
,0
p,0
a,0
,0
ra,0
a,0
,0
va,0
ra,0
,0
n,0
ta,0
,0
",",0
an,0
,0
qu,0
an,0
,0
fc,0
o,0
,0
ou,0
tr,0
,0
oa,0
,0
,0
da,0
aa,0
,0
nl,0
no,0
,0
a,0
a,0
,0
d,0
o,0
,0
a,0
la,0
,0
181,0
,0
d,0
I  ao e,0
,0
a a,0
«■ aa s^ 9,0
a a a a•a,0
o  a* 9W 9,0
a -«u ^ft. O,0
,0
a »,0
a •,0
to  a,0
,0
•i!,0
,0
c i,0
,0
I :,0
x ~,0
m 7e 3c  r,0
• ae au,0
C Ha*» 9,0
,0
ui,0
,0
3 2,0
: s,0
,0
9- i.s e,0
,0
e-  i,0
,0
x 4,0
a  9,0
,0
eo a,0
,0
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.,0
,0
,0
,0
182,0
,0
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.,0
,0
,0
,0
P,0
o,0
,0
m,0
u,0
,0
o,0
,0
,0
um,0
,0
,0
d,0
li,0
,0
p,0
o,0
,0
ii,0
(l,0
,0
o,0
,0
,0
b,0
«,0
,0
it,0
>,0
,0
n,0
ta,0
,0
,0
a,0
,0
q,0
u,0
,0
ll,0
ib,0
,0
ra,0
d,0
,0
a,0
",",0
,0
a,0
u,0
,0
lt,0
a,0
,0
a,0
,0
,0
•I,0
to,0
,0
s,0
i,0
,0
b,0
a,0
,0
lR,0
o,0
,0
it,0
,0
183,0
,0
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.,0
,0
,0
,0
ai,0
tu,0
,0
ag,0
lla,0
,0
a,0
a,0
,0
o,0
c,0
,0
la,0
la,0
,0
*,0
ao,0
,0
u,0
fa,0
,0
la,0
d,0
,0
o,0
rf,0
,0
a,0
"),",0
,0
,0
aa,0
,0
po,0
nt,0
,0
ln,0
aa,0
,0
.,0
49,0
,0
*,0
P,0
,0
ar,0
ac,0
,0
a-,0
*a,0
,0
,0
qu,0
,0
a,0
aa,0
,0
u,0
pa,0
,0
r,0
n,0
,0
a,0
tu,0
,0
ra,0
ia,0
,0
,0
uu,0
,0
,0
pa,0
,0
no,0
a,0
,0
p,0
a,0
,0
c,0
lf,0
,0
lc,0
a,0
,0
d,0
o,0
,0
c,0
a,0
,0
184,0
,0
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.,0
,0
Mf,0
O,0
,0
,0
,0
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.,0
,0
,0
,0
★,0
6,0
,0
.,0
C,0
,0
*,0
r«,0
,0
lM,0
n,0
,0
t«,0
",",0
,0
nf,0
lo,0
,0
,0
tc,0
,0
ao,0
,0
,0
as,0
,0
,0
c,0
o,0
,0
n,0
s,0
,0
a,0
q,0
,0
u,0
tn,0
,0
c,0
la,0
,0
a,0
,0
,0
a,0
d,0
,0
w,0
a,0
,0
rs,0
a,0
,0
*,0
dn,0
,0
s,0
M,0
,0
u,0
a,0
,0
186,0
,0
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.,0
,0
,0
,0
APPENDIX I,0
,0
FINAL SET OF ITEMS FOR THE TI,0
,0
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.,0
